date,pH,Oxygen,Chloride,Nitrates,Ammonium,Orthophosphate,Phosphate,Chlorophyll,fluid_velocity,river_depth,season
30/09/2018,8.1,11.4,40.02,5.33,346.67,125.67,187.06,15.6,medium,low,autumn
05/10/2018,8.06,9,55.35,10.42,233.7,58.22,97.58,10.5,medium,low,autumn
07/10/2018,8.05,10.6,59.07,4.99,205.67,44.67,77.43,6.9,high,low,autumn
09/10/2018,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1,high,low,autumn
11/10/2018,7.75,10.3,32.92,2.94,42,16,40,7.6,high,low,autumn
13/10/2018,6.8,11.1,9,0.63,20,4,,2.7,high,low,autumn
15/10/2018,7.4,12.5,13,3.33,60,72,142,4.9,high,low,autumn
17/10/2018,8.4,9.9,34.5,2.82,20,47,2.3,13.6,medium,low,autumn
19/10/2018,8,12.1,66.3,4.54,39,16,39,0.8,high,low,autumn
21/10/2018,7.29,11.21,17.75,3.07,35,13,20.81,12.1,medium,low,autumn
23/10/2018,5.7,10.8,,2.55,10,1,4,,medium,low,autumn
25/10/2018,6.6,11.3,,4.17,10,1,6,,medium,low,autumn
27/10/2018,7.83,11.7,4.08,1.33,18,3.33,6.67,,high,low,autumn
29/10/2018,8.5,8.1,38.13,3.85,225,45,152.33,5.2,medium,medium,autumn
31/10/2018,8.1,9.8,29.5,1.29,224.29,25.17,102.33,3.6,medium,medium,autumn
02/11/2018,7.3,11.7,10.4,4.93,130,10.8,60,4.3,high,medium,autumn
04/11/2018,7.5,10.8,31,4.41,737.5,111.25,214,2.9,medium,medium,autumn
06/11/2018,8.5,10.5,56.72,0.33,215.71,23,138.5,20.83,low,medium,autumn
08/11/2018,7.6,10,49.63,5.46,308.75,38.63,285.71,75,low,medium,autumn
10/11/2018,8.3,11.1,41.5,4.67,931.83,39,124.2,13.1,high,medium,autumn
12/11/2018,8.3,11.6,5.83,0.7,12.73,3.55,13.2,3.2,medium,medium,autumn
14/11/2018,8,11.9,130.67,6.54,196,75,84,4.5,medium,medium,autumn
16/11/2018,8.1,11.7,35.66,5.13,46.5,49,88.5,2.5,medium,medium,autumn
18/11/2018,7.9,10.5,10.21,2.3,132.25,10.58,23.49,2,high,medium,autumn
20/11/2018,7.8,6.5,64.09,7.74,47.5,276,8.1,6.5,low,medium,autumn
22/11/2018,8.3,9.9,40.23,1.59,235,33.8,75.21,23.8,high,medium,autumn
24/11/2018,8.87,11,41.16,2.27,54.75,39,72.7,22.7,high,medium,autumn
26/11/2018,7.3,11.8,44.21,45.65,44,34,53.1,2.2,high,medium,autumn
28/11/2018,7.8,10.53,100.83,5.41,486.5,24,58.37,27.5,medium,medium,autumn
30/11/2018,8.4,10.6,19.22,1.66,96.83,20.67,54.92,20.6,low,high,autumn
02/12/2018,8.84,12.9,43.09,0.85,52.2,8.6,46.44,81.54,low,high,autumn
04/12/2018,7.4,10.68,22.35,5.41,244.6,66.4,171.27,3.8,high,high,autumn
06/12/2018,8.53,11.1,63.29,1.73,227.6,84.3,146.45,21.22,low,high,autumn
08/12/2018,8.06,8.3,38.9,3.68,627.27,205.64,219.91,6.21,low,high,autumn
10/12/2018,8.7,10.7,4.55,0.94,32.73,16,21.3,1.1,high,high,autumn
12/12/2018,8.55,11,22.32,3.14,82.1,45.9,101.46,18.33,low,high,autumn
14/12/2018,8.7,11.4,15.54,2.32,103,34.5,81.56,5.62,medium,high,autumn
16/12/2018,8.58,11.1,23.83,3.62,72.6,51.11,91.11,22.9,medium,high,autumn
18/12/2018,8.4,8.4,17.38,3.83,83.75,53.63,79.75,2.34,medium,high,autumn
20/12/2018,8.2,7,139.99,2.98,60.11,78.33,140.22,31.74,medium,high,autumn
21/12/2018,8,9.8,60.8,6.24,578,105,170,50,medium,low,winter
22/12/2018,8.25,13.1,65.75,9.25,430,18.25,56.67,28.4,high,low,winter
23/12/2018,8.7,3.4,21.95,0.89,102.75,36.3,71,5.54,medium,low,winter
24/12/2018,7.93,9.9,8,1.39,5.8,27.25,46.6,0.8,high,low,winter
25/12/2018,7.74,9.6,5,1.22,27.29,12,17,41,high,low,winter
26/12/2018,7.9,9.6,3,1.45,46.2,13,61.6,0.3,high,low,winter
27/12/2018,7.78,12,7,1.42,34.33,18.67,50,1.1,high,low,winter
28/12/2018,7.83,10.7,88,4.82,467.5,586,16,0,medium,low,winter
29/12/2018,7.62,8.5,11.87,1.72,208.33,3,27.5,1.7,high,low,winter
30/12/2018,7.09,8.4,10.5,1.57,28,4,13.6,0.5,high,low,winter
31/12/2018,8,9.8,16,0.73,20,26,45,0.8,high,low,winter
01/01/2019,8.1,10.3,26,3.78,60,246,304,2.8,high,low,winter
02/01/2019,8.27,7.8,29.2,0.05,7.4,23,0.9,5.3,medium,low,winter
03/01/2019,8.3,10.9,1.17,0.74,13.5,1.63,3,0.2,high,low,winter
04/01/2019,8.3,8.9,20.63,3.41,228.75,196.62,253.25,12.32,medium,low,winter
05/01/2019,8,5.5,77,6.1,122.85,143.71,296,3.7,medium,low,winter
06/01/2019,8.3,7.7,50,8.54,76,264.9,344.6,22.5,high,low,winter
07/01/2019,8.4,13.4,69.75,4.56,37.5,10,40.67,3.9,high,low,winter
08/01/2019,,12.6,9,0.23,10,5,6,1.1,low,low,winter
09/01/2019,7.6,10.2,32.3,4.51,192.5,12.75,49.33,7.9,medium,low,winter
10/01/2019,7.9,11,6.17,1.17,18.33,7.75,11.8,0.5,high,low,winter
11/01/2019,6.6,10.8,,3.25,10,1,6.5,,high,low,winter
12/01/2019,7.44,10.1,2.93,0.77,15,1.33,6,0.6,high,low,winter
13/01/2019,7.5,1.5,32.4,0.92,220.75,351.6,10,0,medium,low,winter
14/01/2019,8.1,8.1,136,3.77,245,136.75,249.25,20.87,medium,medium,winter
15/01/2019,8,5.9,27.4,0.74,133.64,36,105.73,3,medium,medium,winter
16/01/2019,7.5,9.2,11,3.31,101,26.6,108,1.3,high,medium,winter
17/01/2019,7.4,8.9,13.5,5.44,123.33,27.67,104,21,high,medium,winter
18/01/2019,7.6,6,53,3.73,914,137.6,254.6,4.3,medium,medium,winter
19/01/2019,7.8,3.6,48.67,4.03,412.33,607.17,4.3,0,medium,medium,winter
20/01/2019,8.5,8.6,125.6,3.78,124.17,197.83,303.33,40,medium,medium,winter
21/01/2019,8.8,8.5,53.33,5.13,96.67,120.5,232.83,31,high,medium,winter
22/01/2019,9.1,5.4,61.05,0.31,105.56,104.22,239,72.48,low,medium,winter
23/01/2019,7.9,6.3,101.88,3.98,153.75,51.75,205.88,2,high,medium,winter
24/01/2019,7.7,7.1,63.63,3.14,122.5,28.63,186.5,30,medium,medium,winter
25/01/2019,7.7,5.3,65.33,2.9,371.11,51.11,183.67,17.2,low,medium,winter
26/01/2019,8.7,7.4,47.78,2.32,38.11,24.67,201.78,3,low,medium,winter
27/01/2019,8.43,6,40.17,2.67,723.67,60.83,141.83,25,high,medium,winter
28/01/2019,8.7,9.8,5.89,1.53,51.11,9.67,17.33,1,high,medium,winter
29/01/2019,9.7,10.8,0.22,0.41,10,22.44,10.11,,high,medium,winter
30/01/2019,8.2,9.4,45.27,7.2,345.45,144,287,9.88,medium,medium,winter
31/01/2019,7.4,10.7,11.82,2.16,170.91,36.91,122,5.56,high,medium,winter
01/02/2019,9.1,11.6,31.09,5.1,246.36,55,284,88.26,medium,medium,winter
02/02/2019,8.5,10.1,10.94,1.34,236,34.64,72.9,11.1,high,medium,winter
03/02/2019,7.9,9.8,194.75,6.51,23,173.75,15.3,0,medium,medium,winter
04/02/2019,8.43,9.9,37.6,0.83,124,32.5,115,11.7,low,medium,winter
05/02/2019,7.9,11.2,49.9,9.77,505,67.5,143.75,5.45,medium,medium,winter
06/02/2019,8,4.5,79.08,8.98,920,70,200.23,19.4,low,medium,winter
07/02/2019,8.22,8.1,41.25,1.42,172.5,46.67,123.33,30.4,high,medium,winter
08/02/2019,8.47,9,46.17,2.1,84.67,48,116.2,7.3,high,medium,winter
09/02/2019,8.3,11.5,26,1.87,62.5,30.75,75.33,34.75,low,high,winter
10/02/2019,7.3,9.9,16,4.82,101.67,14.67,85,2,high,high,winter
11/02/2019,8.56,8.7,43.97,4.05,643,221.9,246.67,14.7,low,high,winter
12/02/2019,8.24,6.1,95.37,3.56,236.4,272.22,20.58,2.5,medium,high,winter
13/02/2019,8.21,9.3,104.82,3.91,124.36,82.22,167.9,5.61,medium,high,winter
14/02/2019,9.06,6.35,187.18,3.35,54.78,159.17,221.28,20.8,medium,high,winter
15/02/2019,8.5,10.5,2.75,0.76,10.5,4,7.65,4,medium,high,winter
16/02/2019,8,10.9,9.06,0.83,40,21.08,56.09,,high,high,winter
17/02/2019,8.7,10.8,39.11,6.23,161.82,104.73,228.36,46.08,low,high,winter
18/02/2019,8.7,11.7,22.46,3.77,88.18,41.3,85.4,17.49,low,high,winter
19/02/2019,8.4,10.5,12.18,1.52,65.46,19.73,50.46,8.16,medium,high,winter
20/02/2019,8,7.6,,,,,,,medium,high,winter
21/03/2019,8.35,8,57.75,1.29,370,428.75,558.75,1.3,medium,low,spring
23/03/2019,8.07,4.8,77.36,2.3,98.18,61.18,138.7,1.4,medium,low,spring
25/03/2019,7.7,10.2,8,1.53,21.57,12.75,20.75,0.8,high,low,spring
27/03/2019,7.61,9.8,7,1.44,31.33,20,57.83,0.4,high,low,spring
29/03/2019,7.79,3.2,64,2.82,564.6,771.6,4.5,0,medium,low,spring
31/03/2019,7.2,9.2,0.8,0.64,81,15.6,18,0.5,high,low,spring
02/04/2019,7.84,9.4,10.98,1.51,12.5,3,11.5,1.5,high,low,spring
04/04/2019,7.2,11.3,9,0.23,120,12,19,0.5,high,low,spring
06/04/2019,8,,1.45,0.81,10,2.5,3,0.3,high,low,spring
08/04/2019,8.1,10.5,22.29,4.07,178.57,182.42,255.28,8.96,medium,low,spring
10/04/2019,8.3,8.8,54.14,7.83,51.43,276.85,326.86,11.84,high,low,spring
12/04/2019,8.3,12.5,87,4.87,22.5,27,43.5,3.3,high,low,spring
14/04/2019,7.6,9.6,15,3.02,40,27,121,2.8,medium,low,spring
16/04/2019,7.9,9,5.27,0.91,33.64,9,11.82,0.8,high,low,spring
18/04/2019,5.6,11.8,,2.22,5,1,1,,medium,low,spring
20/04/2019,6.6,9.5,,1.32,20,1,6,,high,low,spring
22/04/2019,6.5,10.4,,5.97,10,2,14,,medium,low,spring
24/04/2019,7.57,10.8,4.58,1.2,27.5,2,6.75,1,high,low,spring
26/04/2019,7.14,9.8,3.28,0.92,15,1.25,10.75,2.5,high,low,spring
28/04/2019,7.5,1.8,29.78,1.05,209.86,313.6,1,1.9,medium,low,spring
30/04/2019,8.2,6.8,129.38,3.32,271.25,100,233.5,13,medium,medium,spring
02/05/2019,9.1,9.4,35.75,5.16,32.5,85.5,215.5,18.37,high,medium,spring
04/05/2019,8,3.3,26.76,0.66,165,37.38,111.38,3,medium,medium,spring
06/05/2019,7.4,9.8,11,3.24,255,38.75,56.67,2,high,medium,spring
08/05/2019,8.7,9.4,173.75,3.32,101.25,267.75,391.75,3.5,medium,medium,spring
10/05/2019,7.8,10.5,70,2.44,98.33,144.67,244,9,high,medium,spring
12/05/2019,8.9,4.5,57.75,0.27,155,97.33,235.67,98.82,low,medium,spring
14/05/2019,7.8,6.5,82.11,2.6,215.56,12.89,154.13,5.2,medium,medium,spring
16/05/2019,8.2,11.3,7.25,1.88,25,6.5,26,0.3,high,medium,spring
18/05/2019,7.8,6,53.43,0.38,118.57,37.86,102.57,1.2,medium,medium,spring
20/05/2019,8.4,5.3,74.67,3.9,131.67,261.6,432.91,24.92,low,medium,spring
22/05/2019,8.1,7.1,42.64,5.08,56.36,166.73,262.73,17.2,medium,medium,spring
24/05/2019,8.3,9.7,10.56,1.92,65.56,61.56,127.22,5.23,high,medium,spring
26/05/2019,9,6.9,28.33,2.95,76.67,102.33,277.33,110.46,medium,medium,spring
28/05/2019,8.3,7.7,10.08,1.21,103.33,48.67,82.44,2,high,medium,spring
30/05/2019,7.9,8.3,391.5,6.05,380,173,317,5.5,medium,medium,spring
01/06/2019,8,9.2,39,4.86,120,187,213,2,medium,medium,spring
03/06/2019,7.8,9.5,8.3,1.67,34,16.8,35.2,1,high,medium,spring
05/06/2019,7.6,6.3,81.33,9.72,196.67,77.33,147.83,3,low,medium,spring
07/06/2019,8.4,4.9,47,0.54,91.83,109,188.67,32,high,medium,spring
08/06/2019,7.9,6,127.83,2.68,176.67,27.5,76.33,2.1,medium,medium,spring
09/06/2019,7.8,3.2,94,4.91,175.67,361,28.57,24.8,low,high,spring
10/06/2019,8.6,3.6,50,0.38,134,54.1,125.8,26.8,low,high,spring
11/06/2019,9,5.8,,0.9,142,102,186,68.05,low,high,spring
12/06/2019,9.5,5.7,44,0.1,146.67,151.33,252.5,93.68,low,high,spring
13/06/2019,9.1,4.3,82.86,0.86,137.27,102.36,232.9,54.37,low,high,spring
14/06/2019,8.5,7.3,71.44,2.51,66.67,64.39,137.78,9.38,medium,high,spring
15/06/2019,8.6,10.6,208.36,4.46,197.91,87.33,194.1,27.62,medium,high,spring
16/06/2019,8.1,10.7,3.5,1.01,12.5,12.75,11,0.6,high,high,spring
17/06/2019,8.6,10.1,2.11,0.66,11.11,3.22,7,1.3,medium,high,spring
18/06/2019,8.5,7.6,12.78,1.87,17.78,50.89,127,24.56,medium,high,spring
19/06/2019,8.2,8.2,7.33,1,37.78,19.11,120.89,5.11,medium,high,spring
20/06/2019,8.3,10.6,14.32,3.2,125.33,35.33,75.9,4.67,medium,high,spring
21/06/2019,8.15,10.3,73.25,1.54,110,61.25,111.75,3.2,high,low,summer
23/06/2019,7.45,11.7,8.69,1.59,18.43,10.67,19,0.6,high,low,summer
25/06/2019,7.72,11.8,6.3,1.47,8,16,15,0.5,high,low,summer
27/06/2019,7.35,10.4,7,1.72,49,41.5,61.5,0.8,high,low,summer
29/06/2019,7.77,10.7,12.54,3.98,58.5,9,44.14,3,high,low,summer
01/07/2019,7.8,11.3,20.08,3.02,49.5,53,130.75,5.8,high,low,summer
03/07/2019,8.66,8.4,30.52,3.44,58.88,84.46,3.6,18.3,medium,low,summer
05/07/2019,8.15,7.1,54.19,3.83,647.57,59.43,175.05,13.2,medium,low,summer
07/07/2019,8,7.9,27.23,1.65,28.33,7.3,22.9,4.5,medium,low,summer
09/07/2019,6.6,10.8,,2.64,10,2,11,,high,low,summer
11/07/2019,6.4,,,,,,14,,medium,low,summer
13/07/2019,7.19,11.7,4.33,1.47,160,2.5,7.2,0.3,high,low,summer
15/07/2019,7,12.1,3.14,1.21,16.2,1.8,2.5,0.5,high,low,summer
17/07/2019,7.8,7.1,32.54,1.72,151.13,279.07,13.1,25.5,medium,low,summer
19/07/2019,7.93,10.2,34.04,9.08,109,55,58.62,11.6,medium,medium,summer
21/07/2019,7.4,11.17,12.15,6.19,89.6,32,69.93,3.1,high,medium,summer
23/07/2019,7.4,10.77,36.25,3.73,429.2,57.6,169,3.2,medium,medium,summer
25/07/2019,7.6,9.7,53.1,7.16,282.17,624.73,6.8,0,medium,medium,summer
27/07/2019,8.1,10.7,94.41,4.7,153,191.75,265.25,7.3,medium,medium,summer
29/07/2019,7.9,11.8,63.51,4.94,137,159.5,218,6.5,high,medium,summer
31/07/2019,7.8,8.2,85.98,6.2,421.67,31.33,211.67,21.9,high,medium,summer
02/08/2019,7.5,8.8,58.33,8.69,758.75,104.5,292.63,3,low,medium,summer
04/08/2019,7.7,11.1,47.23,8.76,239,54,275.14,65.7,low,medium,summer
06/08/2019,8.16,11.1,32.06,5.69,461.88,71,132.55,15,high,medium,summer
08/08/2019,8.5,11.8,7.84,1.73,206.54,8.69,16.66,2.1,high,medium,summer
10/08/2019,8,9.7,57.85,0.46,217.75,37,87,3,medium,medium,summer
12/08/2019,8.6,11.62,1.55,0.45,25.83,16.83,18.29,1.4,high,medium,summer
14/08/2019,8.2,6.6,131.4,4.19,92,238.2,320.4,6.8,low,medium,summer
16/08/2019,8.1,9,48.43,6.64,128.57,181,222.29,6.43,medium,medium,summer
18/08/2019,8.6,10.7,12,2.23,43.75,62.63,89.63,2.15,high,medium,summer
20/08/2019,8.3,10,30.13,3.73,102.5,75.88,177.63,50.23,medium,medium,summer
22/08/2019,7.3,10.5,11.09,1.37,92.38,48.63,66.75,3.3,high,medium,summer
24/08/2019,8.1,6.2,39,0.67,112.86,60,98.14,2,low,medium,summer
26/08/2019,8.1,6.2,51.11,5.1,175,132.5,197.14,6.4,medium,medium,summer
28/08/2019,7.7,4.4,53,2.31,90,22.2,116.2,16,high,medium,summer
30/08/2019,7.6,4.9,69,3.68,234.5,236,22.5,32.5,low,high,summer
01/09/2019,8.8,8.8,43,0.13,103.33,180.67,269.67,92.67,low,high,summer
03/09/2019,7.91,6.2,151.83,3.92,346.17,388.17,5.08,1.7,medium,high,summer
05/09/2019,8.4,10.29,5.33,1,53.85,7.67,14.35,0.8,high,high,summer
07/09/2019,8.2,9.5,2.2,0.67,10,3.8,6.2,0.8,medium,high,summer
09/09/2019,8.3,10,3.86,0.87,32,6,16,2.86,medium,high,summer
11/09/2019,8.1,10.2,7.61,0.7,32.5,26.63,52.88,2,high,high,summer
13/09/2019,8.4,8.2,23.25,2.81,43.75,51.13,87.13,14.78,low,high,summer
15/09/2019,8.5,7.9,12.44,2.59,96.67,19.11,61.44,6.17,medium,high,summer
17/09/2019,8.5,6.7,82.85,2.8,27.07,64,140.52,18.3,medium,high,summer