timestamp,meter_reading
2016-01-15 00:00:00,396.892
2016-01-15 01:00:00,399.08
2016-01-15 02:00:00,377.406
2016-01-15 03:00:00,376.594
2016-01-15 04:00:00,380.281
2016-01-15 05:00:00,373.43800000000016
2016-01-15 06:00:00,397.844
2016-01-15 07:00:00,405.81199999999995
2016-01-15 08:00:00,416.969
2016-01-15 09:00:00,461.31199999999995
2016-01-15 10:00:00,518.344
2016-01-15 11:00:00,549.563
2016-01-15 12:00:00,548.125
2016-01-15 13:00:00,548.031
2016-01-15 14:00:00,540.625
2016-01-15 15:00:00,556.531
2016-01-15 16:00:00,554.594
2016-01-15 17:00:00,544.719
2016-01-15 18:00:00,520.0
2016-01-15 19:00:00,499.031
2016-01-15 20:00:00,449.719
2016-01-15 21:00:00,416.968
2016-01-15 22:00:00,393.657
2016-01-15 23:00:00,382.75
2016-01-16 00:00:00,368.18699999999995
2016-01-16 01:00:00,372.5
2016-01-16 02:00:00,372.032
2016-01-16 03:00:00,367.0
2016-01-16 04:00:00,370.843
2016-01-16 05:00:00,367.407
2016-01-16 06:00:00,369.406
2016-01-16 07:00:00,372.625
2016-01-16 08:00:00,378.5
2016-01-16 09:00:00,386.18699999999995
2016-01-16 10:00:00,391.31300000000016
2016-01-16 11:00:00,384.219
2016-01-16 12:00:00,404.75
2016-01-16 13:00:00,403.718
2016-01-16 14:00:00,404.0
2016-01-16 15:00:00,402.93800000000016
2016-01-16 16:00:00,409.0
2016-01-16 17:00:00,411.06199999999995
2016-01-16 18:00:00,407.875
2016-01-16 19:00:00,398.094
2016-01-16 20:00:00,392.406
2016-01-16 21:00:00,384.18800000000016
2016-01-16 22:00:00,376.93699999999995
2016-01-16 23:00:00,372.68800000000016
2016-01-17 00:00:00,364.719
2016-01-17 01:00:00,370.031
2016-01-17 02:00:00,361.06300000000016
2016-01-17 03:00:00,366.5
2016-01-17 04:00:00,365.969
2016-01-17 05:00:00,370.343
2016-01-17 06:00:00,359.5
2016-01-17 07:00:00,375.31300000000016
2016-01-17 08:00:00,369.781
2016-01-17 09:00:00,371.93800000000016
2016-01-17 10:00:00,379.906
2016-01-17 11:00:00,379.219
2016-01-17 12:00:00,388.81199999999995
2016-01-17 13:00:00,386.844
2016-01-17 14:00:00,397.0
2016-01-17 15:00:00,395.81199999999995
2016-01-17 16:00:00,402.719
2016-01-17 17:00:00,392.031
2016-01-17 18:00:00,391.18800000000016
2016-01-17 19:00:00,391.625
2016-01-17 20:00:00,387.25
2016-01-17 21:00:00,378.281
2016-01-17 22:00:00,379.875
2016-01-17 23:00:00,366.125
2016-01-18 00:00:00,375.06300000000016
2016-01-18 01:00:00,356.06199999999984
2016-01-18 02:00:00,359.75
2016-01-18 03:00:00,358.375
2016-01-18 04:00:00,363.282
2016-01-18 05:00:00,364.43699999999995
2016-01-18 06:00:00,373.31300000000016
2016-01-18 07:00:00,381.0
2016-01-18 08:00:00,401.031
2016-01-18 09:00:00,444.68699999999995
2016-01-18 10:00:00,515.938
2016-01-18 11:00:00,548.219
2016-01-18 12:00:00,551.5930000000002
2016-01-18 13:00:00,557.094
2016-01-18 14:00:00,553.313
2016-01-18 15:00:00,571.187
2016-01-18 16:00:00,573.875
2016-01-18 17:00:00,562.375
2016-01-18 18:00:00,552.625
2016-01-18 19:00:00,526.188
2016-01-18 20:00:00,473.593
2016-01-18 21:00:00,429.375
2016-01-18 22:00:00,398.375
2016-01-18 23:00:00,390.344
2016-01-19 00:00:00,396.781
2016-01-19 01:00:00,386.406
2016-01-19 02:00:00,383.782
2016-01-19 03:00:00,385.593
2016-01-19 04:00:00,380.875
2016-01-19 05:00:00,386.282
2016-01-19 06:00:00,400.68699999999995
2016-01-19 07:00:00,405.125
2016-01-19 08:00:00,418.625
2016-01-19 09:00:00,481.281
2016-01-19 10:00:00,535.188
2016-01-19 11:00:00,582.937
2016-01-19 12:00:00,573.219
2016-01-19 13:00:00,572.406
2016-01-19 14:00:00,579.0
2016-01-19 15:00:00,575.6569999999998
2016-01-19 16:00:00,578.406
2016-01-19 17:00:00,564.937
2016-01-19 18:00:00,555.063
2016-01-19 19:00:00,518.875
2016-01-19 20:00:00,480.406
2016-01-19 21:00:00,454.375
2016-01-19 22:00:00,421.625
2016-01-19 23:00:00,408.406
2016-01-20 00:00:00,396.031
2016-01-20 01:00:00,395.75
2016-01-20 02:00:00,397.094
2016-01-20 03:00:00,392.594
2016-01-20 04:00:00,392.5
2016-01-20 05:00:00,389.5
2016-01-20 06:00:00,395.531
2016-01-20 07:00:00,407.625
2016-01-20 08:00:00,428.219
2016-01-20 09:00:00,489.968
2016-01-20 10:00:00,538.75
2016-01-20 11:00:00,569.5
2016-01-20 12:00:00,578.563
2016-01-20 13:00:00,563.875
2016-01-20 14:00:00,583.219
2016-01-20 15:00:00,594.312
2016-01-20 16:00:00,579.094
2016-01-20 17:00:00,570.812
2016-01-20 18:00:00,539.688
2016-01-20 19:00:00,508.25
2016-01-20 20:00:00,479.68699999999995
2016-01-20 21:00:00,448.625
2016-01-20 22:00:00,421.469
2016-01-20 23:00:00,402.969
2016-01-21 00:00:00,395.06300000000016
2016-01-21 01:00:00,396.81199999999995
2016-01-21 02:00:00,392.219
2016-01-21 03:00:00,393.906
2016-01-21 04:00:00,387.31300000000016
2016-01-21 05:00:00,384.406
2016-01-21 06:00:00,396.344
2016-01-21 07:00:00,414.844
2016-01-21 08:00:00,433.75
2016-01-21 09:00:00,465.843
2016-01-21 10:00:00,521.219
2016-01-21 11:00:00,544.688
2016-01-21 12:00:00,562.062
2016-01-21 13:00:00,550.813
2016-01-21 14:00:00,565.906
2016-01-21 15:00:00,575.375
2016-01-21 16:00:00,554.781
2016-01-21 17:00:00,550.031
2016-01-21 18:00:00,528.9069999999998
2016-01-21 19:00:00,503.875
2016-01-21 20:00:00,462.68699999999995
2016-01-21 21:00:00,431.375
2016-01-21 22:00:00,411.06300000000016
2016-01-21 23:00:00,396.25
2016-01-22 00:00:00,373.75
2016-01-22 01:00:00,385.218
2016-01-22 02:00:00,386.93800000000016
2016-01-22 03:00:00,379.344
2016-01-22 04:00:00,375.218
2016-01-22 05:00:00,384.532
2016-01-22 06:00:00,387.343
2016-01-22 07:00:00,385.469
2016-01-22 08:00:00,401.625
2016-01-22 09:00:00,446.81300000000016
2016-01-22 10:00:00,507.18699999999995
2016-01-22 11:00:00,544.875
2016-01-22 12:00:00,543.719
2016-01-22 13:00:00,549.719
2016-01-22 14:00:00,534.656
2016-01-22 15:00:00,559.062
2016-01-22 16:00:00,543.4069999999998
2016-01-22 17:00:00,517.25
2016-01-22 18:00:00,498.31199999999995
2016-01-22 19:00:00,470.344
2016-01-22 20:00:00,428.094
2016-01-22 21:00:00,393.75
2016-01-22 22:00:00,380.781
2016-01-22 23:00:00,371.75
2016-01-23 00:00:00,366.75
2016-01-23 01:00:00,364.906
2016-01-23 02:00:00,366.031
2016-01-23 03:00:00,367.719
2016-01-23 04:00:00,360.0
2016-01-23 05:00:00,360.43800000000016
2016-01-23 06:00:00,363.531
2016-01-23 07:00:00,364.31199999999995
2016-01-23 08:00:00,354.594
2016-01-23 09:00:00,366.56300000000016
2016-01-23 10:00:00,382.875
2016-01-23 11:00:00,390.93699999999995
2016-01-23 12:00:00,389.68800000000016
2016-01-23 13:00:00,398.375
2016-01-23 14:00:00,401.18699999999995
2016-01-23 15:00:00,406.25
2016-01-23 16:00:00,404.25
2016-01-23 17:00:00,409.625
2016-01-23 18:00:00,396.875
2016-01-23 19:00:00,378.93800000000016
2016-01-23 20:00:00,374.31199999999995
2016-01-23 21:00:00,371.56300000000016
2016-01-23 22:00:00,366.18699999999995
2016-01-23 23:00:00,356.0
2016-01-24 00:00:00,356.625
2016-01-24 01:00:00,363.75
2016-01-24 02:00:00,355.43800000000016
2016-01-24 03:00:00,359.06199999999984
2016-01-24 04:00:00,363.31300000000016
2016-01-24 05:00:00,354.93699999999984
2016-01-24 06:00:00,356.56300000000016
2016-01-24 07:00:00,358.93699999999984
2016-01-24 08:00:00,365.75
2016-01-24 09:00:00,357.0
2016-01-24 10:00:00,362.0
2016-01-24 11:00:00,366.5
2016-01-24 12:00:00,369.25
2016-01-24 13:00:00,376.06300000000016
2016-01-24 14:00:00,386.5
2016-01-24 15:00:00,392.125
2016-01-24 16:00:00,379.06199999999995
2016-01-24 17:00:00,388.68800000000016
2016-01-24 18:00:00,393.18699999999995
2016-01-24 19:00:00,382.68800000000016
2016-01-24 20:00:00,384.81199999999995
2016-01-24 21:00:00,384.0
2016-01-24 22:00:00,375.25
2016-01-24 23:00:00,366.43800000000016
2016-01-25 00:00:00,376.75
2016-01-25 01:00:00,358.0
2016-01-25 02:00:00,357.93699999999984
2016-01-25 03:00:00,362.125
2016-01-25 04:00:00,359.81300000000016
2016-01-25 05:00:00,361.18699999999995
2016-01-25 06:00:00,372.0
2016-01-25 07:00:00,381.875
2016-01-25 08:00:00,396.18800000000016
2016-01-25 09:00:00,442.56199999999995
2016-01-25 10:00:00,491.43800000000016
2016-01-25 11:00:00,525.125
2016-01-25 12:00:00,533.375
2016-01-25 13:00:00,544.562
2016-01-25 14:00:00,544.813
2016-01-25 15:00:00,563.25
2016-01-25 16:00:00,548.437
2016-01-25 17:00:00,544.0
2016-01-25 18:00:00,539.75
2016-01-25 19:00:00,523.875
2016-01-25 20:00:00,481.625
2016-01-25 21:00:00,448.75
2016-01-25 22:00:00,411.56300000000016
2016-01-25 23:00:00,399.18699999999995
2016-01-26 00:00:00,377.18800000000016
2016-01-26 01:00:00,393.375
2016-01-26 02:00:00,388.75
2016-01-26 03:00:00,388.68800000000016
2016-01-26 04:00:00,376.06199999999995
2016-01-26 05:00:00,380.56300000000016
2016-01-26 06:00:00,392.125
2016-01-26 07:00:00,408.625
2016-01-26 08:00:00,427.43699999999995
2016-01-26 09:00:00,456.81300000000016
2016-01-26 10:00:00,506.93699999999995
2016-01-26 11:00:00,568.313
2016-01-26 12:00:00,594.312
2016-01-26 13:00:00,598.875
2016-01-26 14:00:00,593.0
2016-01-26 15:00:00,593.0
2016-01-26 16:00:00,559.938
2016-01-26 17:00:00,547.812
2016-01-26 18:00:00,534.438
2016-01-26 19:00:00,510.0
2016-01-26 20:00:00,461.31199999999995
2016-01-26 21:00:00,435.43800000000016
2016-01-26 22:00:00,404.18699999999995
2016-01-26 23:00:00,384.0
2016-01-27 00:00:00,379.31300000000016
2016-01-27 01:00:00,375.31199999999995
2016-01-27 02:00:00,371.875
2016-01-27 03:00:00,370.25
2016-01-27 04:00:00,379.125
2016-01-27 05:00:00,374.68800000000016
2016-01-27 06:00:00,379.56199999999995
2016-01-27 07:00:00,398.125
2016-01-27 08:00:00,421.93800000000016
2016-01-27 09:00:00,456.125
2016-01-27 10:00:00,498.375
2016-01-27 11:00:00,529.937
2016-01-27 12:00:00,531.125
2016-01-27 13:00:00,531.125
2016-01-27 14:00:00,529.25
2016-01-27 15:00:00,556.625
2016-01-27 16:00:00,538.25
2016-01-27 17:00:00,522.625
2016-01-27 18:00:00,517.5
2016-01-27 19:00:00,503.56300000000016
2016-01-27 20:00:00,456.06199999999995
2016-01-27 21:00:00,428.25
2016-01-27 22:00:00,399.625
2016-01-27 23:00:00,385.0
2016-01-28 00:00:00,380.5
2016-01-28 01:00:00,385.75
2016-01-28 02:00:00,378.875
2016-01-28 03:00:00,378.18800000000016
2016-01-28 04:00:00,368.93699999999995
2016-01-28 05:00:00,371.125
2016-01-28 06:00:00,382.81300000000016
2016-01-28 07:00:00,398.68699999999995
2016-01-28 08:00:00,424.93800000000016
2016-01-28 09:00:00,444.93699999999995
2016-01-28 10:00:00,494.81300000000016
2016-01-28 11:00:00,532.812
2016-01-28 12:00:00,551.938
2016-01-28 13:00:00,554.062
2016-01-28 14:00:00,555.125
2016-01-28 15:00:00,569.875
2016-01-28 16:00:00,557.688
2016-01-28 17:00:00,549.812
2016-01-28 18:00:00,528.0
2016-01-28 19:00:00,491.875
2016-01-28 20:00:00,458.81300000000016
2016-01-28 21:00:00,425.31199999999995
2016-01-28 22:00:00,403.625
2016-01-28 23:00:00,379.25
2016-01-29 00:00:00,370.125
2016-01-29 01:00:00,378.43699999999995
2016-01-29 02:00:00,373.31300000000016
2016-01-29 03:00:00,374.625
2016-01-29 04:00:00,378.56199999999995
2016-01-29 05:00:00,373.93800000000016
2016-01-29 06:00:00,383.5
2016-01-29 07:00:00,398.06199999999995
2016-01-29 08:00:00,415.93800000000016
2016-01-29 09:00:00,445.5
2016-01-29 10:00:00,488.875
2016-01-29 11:00:00,539.25
2016-01-29 12:00:00,538.75
2016-01-29 13:00:00,533.125
2016-01-29 14:00:00,537.0
2016-01-29 15:00:00,565.562
2016-01-29 16:00:00,538.063
2016-01-29 17:00:00,527.625
2016-01-29 18:00:00,504.0
2016-01-29 19:00:00,486.56199999999995
2016-01-29 20:00:00,434.06300000000016
2016-01-29 21:00:00,405.43699999999995
2016-01-29 22:00:00,379.75
2016-01-29 23:00:00,367.125
2016-01-30 00:00:00,376.5
2016-01-30 01:00:00,367.625
2016-01-30 02:00:00,372.18800000000016
2016-01-30 03:00:00,372.5
2016-01-30 04:00:00,371.68699999999995
2016-01-30 05:00:00,364.875
2016-01-30 06:00:00,369.43800000000016
2016-01-30 07:00:00,373.43699999999995
2016-01-30 08:00:00,369.93800000000016
2016-01-30 09:00:00,370.375
2016-01-30 10:00:00,378.0
2016-01-30 11:00:00,383.56199999999995
2016-01-30 12:00:00,397.06300000000016
2016-01-30 13:00:00,400.0
2016-01-30 14:00:00,411.625
2016-01-30 15:00:00,408.75
2016-01-30 16:00:00,418.0
2016-01-30 17:00:00,409.18699999999995
2016-01-30 18:00:00,404.375
2016-01-30 19:00:00,399.0
2016-01-30 20:00:00,386.56300000000016
2016-01-30 21:00:00,392.56199999999995
2016-01-30 22:00:00,383.56300000000016
2016-01-30 23:00:00,375.75
2016-01-31 00:00:00,371.375
2016-01-31 01:00:00,379.625
2016-01-31 02:00:00,369.06199999999995
2016-01-31 03:00:00,378.875
2016-01-31 04:00:00,376.43800000000016
2016-01-31 05:00:00,373.68699999999995
2016-01-31 06:00:00,374.81300000000016
2016-01-31 07:00:00,371.81199999999995
2016-01-31 08:00:00,372.375
2016-01-31 09:00:00,364.31300000000016
2016-01-31 10:00:00,370.18699999999995
2016-01-31 11:00:00,382.18800000000016
2016-01-31 12:00:00,385.93699999999995
2016-01-31 13:00:00,394.625
2016-01-31 14:00:00,390.0
2016-01-31 15:00:00,400.06300000000016
2016-01-31 16:00:00,392.56199999999995
2016-01-31 17:00:00,382.125
2016-01-31 18:00:00,381.375
2016-01-31 19:00:00,378.25
2016-01-31 20:00:00,378.68800000000016
2016-01-31 21:00:00,374.375
2016-01-31 22:00:00,367.18699999999995
2016-01-31 23:00:00,360.375
2016-02-01 00:00:00,373.81300000000016
2016-02-01 01:00:00,361.18699999999995
2016-02-01 02:00:00,357.68800000000016
2016-02-01 03:00:00,359.93699999999984
2016-02-01 04:00:00,362.375
2016-02-01 05:00:00,359.31300000000016
2016-02-01 06:00:00,375.43699999999995
2016-02-01 07:00:00,380.25
2016-02-01 08:00:00,402.75
2016-02-01 09:00:00,436.18800000000016
2016-02-01 10:00:00,492.56199999999995
2016-02-01 11:00:00,554.5
2016-02-01 12:00:00,549.813
2016-02-01 13:00:00,550.312
2016-02-01 14:00:00,551.813
2016-02-01 15:00:00,567.75
2016-02-01 16:00:00,547.125
2016-02-01 17:00:00,535.187
2016-02-01 18:00:00,523.688
2016-02-01 19:00:00,501.125
2016-02-01 20:00:00,464.25
2016-02-01 21:00:00,432.31199999999995
2016-02-01 22:00:00,402.75
2016-02-01 23:00:00,396.93800000000016
2016-02-02 00:00:00,384.5
2016-02-02 01:00:00,380.625
2016-02-02 02:00:00,374.56199999999995
2016-02-02 03:00:00,380.75
2016-02-02 04:00:00,375.31300000000016
2016-02-02 05:00:00,380.18699999999995
2016-02-02 06:00:00,389.06300000000016
2016-02-02 07:00:00,391.875
2016-02-02 08:00:00,415.5
2016-02-02 09:00:00,449.625
2016-02-02 10:00:00,486.625
2016-02-02 11:00:00,528.687
2016-02-02 12:00:00,558.25
2016-02-02 13:00:00,557.25
2016-02-02 14:00:00,574.438
2016-02-02 15:00:00,576.5
2016-02-02 16:00:00,568.812
2016-02-02 17:00:00,556.188
2016-02-02 18:00:00,537.625
2016-02-02 19:00:00,502.93699999999995
2016-02-02 20:00:00,464.5
2016-02-02 21:00:00,422.06300000000016
2016-02-02 22:00:00,394.68699999999995
2016-02-02 23:00:00,381.75
2016-02-03 00:00:00,387.0
2016-02-03 01:00:00,381.68800000000016
2016-02-03 02:00:00,382.18699999999995
2016-02-03 03:00:00,385.5
2016-02-03 04:00:00,386.875
2016-02-03 05:00:00,384.75
2016-02-03 06:00:00,399.875
2016-02-03 07:00:00,406.5
2016-02-03 08:00:00,418.75
2016-02-03 09:00:00,457.68800000000016
2016-02-03 10:00:00,506.5
2016-02-03 11:00:00,551.562
2016-02-03 12:00:00,556.875
2016-02-03 13:00:00,568.0
2016-02-03 14:00:00,576.625
2016-02-03 15:00:00,586.813
2016-02-03 16:00:00,570.625
2016-02-03 17:00:00,571.0
2016-02-03 18:00:00,551.5
2016-02-03 19:00:00,530.5
2016-02-03 20:00:00,484.125
2016-02-03 21:00:00,444.43699999999995
2016-02-03 22:00:00,419.68800000000016
2016-02-03 23:00:00,401.25
2016-02-04 00:00:00,389.124
2016-02-04 01:00:00,390.43800000000016
2016-02-04 02:00:00,378.81199999999995
2016-02-04 03:00:00,383.375
2016-02-04 04:00:00,392.125
