Year,Birth_rate,CO2_emissions,Death_rate,Electric_power_consumption,Energy_use,Food_exports,Food_imports,Goods_services_exports,Goods_services_imports,Population_density,GDP
1960,18.58,5.762,10.233,1427.783,1720.317,,,,,,359.029
1961,18.534,5.922,10.114,1523.15,1761.406,,,6.007,6.128,98.077,390.887
1962,18.337,6.209,10.441,1641.966,1869.038,17.703,23.804,5.81,7.448,98.948,427.015
1963,18.415,6.574,10.381,1758.415,1979.026,15.114,21.275,6.198,10.371,99.831,470.415
1964,18.51,6.79,10.051,1884.315,2045.755,14.513,19.838,9.225,9.728,100.706,521.328
1965,17.957,6.962,10.28,1983.536,2095.115,14.332,20.163,8.775,5.658,101.541,567.732
1966,17.658,7.116,10.185,2094.888,2138.19,14.115,20.082,7.452,7.904,102.32,615.438
1967,17.83,7.225,10.231,2194.989,2203.484,13.946,19.029,4.486,5.72,103.065,661.332
1968,17.48,7.592,10.55,2363.33,2337.96,13.054,17.626,11.407,9.509,103.758,687.385
1969,16.971,8.006,10.759,2556.038,2507.863,12.656,16.89,12.67,13.5,104.427,754.985
1970,16.37,8.491,10.551,2887.865,2893.789,12.605,16.156,11.709,11.211,104.98,854.807
1971,16.202,8.656,10.582,2956.186,2909.509,12.679,17.225,6.633,4.98,105.534,966.895
1972,15.599,8.942,10.472,3147.62,3013.404,12.547,16.428,7.757,9.09,106.211,1157.617
1973,15.128,9.343,10.571,3374.648,3174.565,12.665,16.421,10.882,10.901,106.854,1469.889
1974,15.197,9.156,10.448,3454.36,3120.399,11.505,13.837,6.989,2.496,107.452,1652.067
1975,14.784,8.937,10.626,3456.976,3040.177,12.044,14.95,-3.832,-5.439,108.024,1925.962
1976,14.619,9.478,10.626,3706.744,3220.862,11.846,13.917,9.432,11.372,108.535,1994.811
1977,14.29,9.405,10.424,3805.287,3233.357,11.951,15.173,5.602,2.545,108.989,2259.061
1978,14.117,9.675,10.536,3978.822,3337.842,11.947,14.621,5.301,3.81,109.418,2768.458
1979,14.028,10.049,10.464,4147.264,3462.473,11.54,13.179,6.839,9.681,109.844,3381.002
1980,13.894,9.729,10.608,4199.644,3368.999,11.389,11.87,1.192,2.075,110.295,3859.035
1981,13.522,9.153,10.494,4212.911,3256.68,12.038,12.149,4.729,-1.591,110.699,3414.524
1982,13.353,8.926,10.402,4221.931,3196.346,11.752,12.405,1.025,1.154,111.005,3286.231
1983,13.075,8.778,10.593,4341.188,3204.556,11.408,12.392,3.231,1.411,111.262,3185.259
1984,12.979,8.699,10.434,4525.507,3270.049,11.194,12.088,8.005,6.501,111.507,3058.274
1985,12.882,8.902,10.658,4713.068,3382.793,10.926,11.824,4.73,4.617,111.777,3160.727
1986,12.773,8.856,10.513,4824.659,3427.838,11.148,12.438,1.177,5.086,112.086,4333.946
1987,12.702,8.999,10.372,4979.118,3489.868,11.142,11.875,4.127,7.562,112.405,5362.16
1988,12.716,8.852,10.359,5103.736,3505.433,10.938,11.62,4.925,7.434,112.763,5981.271
1989,12.454,9.075,10.379,5201.824,3510.745,10.729,10.651,6.917,7.942,113.17,6107.077
1990,12.373,8.579,10.427,5157.513,3441.306,10.429,10.274,3.921,3.705,113.553,7573.007
1991,12.029,8.583,10.465,5186.392,3438.187,10.691,10.86,3.772,2.436,113.824,7859.432
1992,11.748,8.312,10.327,5151.248,3347.422,11.223,11.075,3.699,4.233,114.153,8563.868
1993,11.439,8.171,10.457,5116.963,3332.168,10.939,11.114,1.876,-3,114.513,7808.204
1994,11.084,8.039,10.267,5162.86,3309.983,10.659,11.152,9.266,8.462,114.798,8291.509
1995,10.765,8.153,10.345,5294.431,3404.124,10.273,10.696,9.087,8.172,115.027,9617.733
1996,10.766,8.362,10.324,5439.561,3516.427,10.05,10.455,5.5,5.373,115.224,9832.903
1997,10.733,8.157,10.216,5494.748,3475.833,9.379,9.76,10.54,9.987,115.415,9281.645
1998,10.588,8.156,10.218,5585.885,3490.288,9.127,9.518,6.665,10.115,115.592,9598.123
1999,10.512,7.992,10.199,5670.539,3454.836,8.811,9.036,5.369,7.248,115.807,9583.143
2000,10.587,8.013,9.988,5820.526,3471.736,7.557,7.614,12.906,11.91,115.099,8906.062
2001,10.35,8.175,9.887,5944.141,3547.977,7.759,8.083,3.698,2.716,115.301,9003.878
2002,10.283,8.106,9.97,6014.124,3533.747,7.98,8.417,2.3,1.622,115.625,9816.362
2003,10.345,8.225,10.127,6132.979,3595.294,8.074,8.439,1.705,3.406,116.039,11949.482
2004,10.461,8.21,9.662,6229.655,3618.226,7.727,7.994,8.087,7.675,116.508,13798.051
2005,10.445,8.145,9.819,6292.46,3615.671,7.704,7.865,6.067,6.511,116.977,14433.131
2006,10.582,8.179,9.642,6358.736,3616.144,7.479,7.459,9.43,9.381,117.435,15398.34
2007,10.663,8.01,9.715,6368.356,3541.016,7.687,7.715,6.265,6.403,117.895,17793.676
2008,10.916,7.804,9.767,6360.763,3512.664,8.12,8.115,1.267,1.024,118.357,19137.007
2009,10.753,7.157,9.742,6028.126,3299.589,9.22,9.434,-11.682,-11.442,118.688,17102.541
2010,10.752,7.356,9.723,6269.563,3420.965,8.707,8.652,10.483,9.454,118.911,17009.515
2011,10.479,7.079,9.673,6150.398,3289.975,9.013,8.906,6.699,4.286,118.846,18374.653
2012,10.381,6.918,9.921,6147.322,3257.3,9.2,9.128,2.227,-0.509,119.196,17316.911
2013,10.046,6.754,9.883,6065.653,3210.368,9.564,9.636,2.273,1.796,119.512,18053.021
2014,10.131,6.379,9.731,5908.359,3079.484,9.535,9.617,4.703,5.184,119.889,18669.133
2015,10.018,,10.245,,3207.068,9.796,9.823,6.263,7.14,120.265,16445.165
2016,10.071,,10.04,,,9.917,10.132,3.229,4.285,120.608,16546.782
2017,9.879,,10.261,,,9.792,9.974,5.343,4.337,120.894,17338.846